match_id,inning,over,ball,batter_id,bowler_id,non_striker_id,batting_team_id,bowling_team_id,batsman_runs,extras_runs,total_runs
335982,1,0,1,0,1,2,1,0,0,1,1
335982,1,0,2,2,1,0,1,0,0,0,0
335982,1,0,3,2,1,0,1,0,0,1,1
335982,1,0,4,2,1,0,1,0,0,0,0
335982,1,0,5,2,1,0,1,0,0,0,0
335982,1,0,6,2,1,0,1,0,0,0,0
335982,1,0,7,2,1,0,1,0,0,1,1
335982,1,1,1,2,3,0,1,0,0,0,0
335982,1,1,2,2,3,0,1,0,4,0,4
335982,1,1,3,2,3,0,1,0,4,0,4
335982,1,1,4,2,3,0,1,0,6,0,6
335982,1,1,5,2,3,0,1,0,4,0,4
335982,1,1,6,2,3,0,1,0,0,0,0
335982,1,2,1,0,1,2,1,0,0,0,0
335982,1,2,2,0,1,2,1,0,0,0,0
335982,1,2,3,0,1,2,1,0,0,1,1
335982,1,2,4,2,1,0,1,0,4,0,4
335982,1,2,5,2,1,0,1,0,1,0,1
335982,1,2,6,0,1,2,1,0,0,0,0
335982,1,3,1,2,4,0,1,0,0,5,5
335982,1,3,2,2,4,0,1,0,6,0,6
335982,1,3,3,2,4,0,1,0,0,1,1
335982,1,3,4,0,4,2,1,0,4,0,4
335982,1,3,5,0,4,2,1,0,0,0,0
335982,1,3,6,0,4,2,1,0,1,0,1
335982,1,3,7,2,4,0,1,0,6,0,6
335982,1,4,1,0,1,2,1,0,4,0,4
335982,1,4,2,0,1,2,1,0,1,0,1
335982,1,4,3,2,1,0,1,0,4,0,4
335982,1,4,4,2,1,0,1,0,0,0,0
335982,1,4,5,2,1,0,1,0,1,0,1
335982,1,4,6,0,1,2,1,0,0,0,0
335982,1,5,1,2,3,0,1,0,1,0,1
335982,1,5,2,0,3,2,1,0,0,0,0
335982,1,5,3,6,3,2,1,0,0,0,0
335982,1,5,4,6,3,2,1,0,0,0,0
335982,1,5,5,6,3,2,1,0,0,0,0
335982,1,5,6,6,3,2,1,0,0,0,0
335982,1,6,1,2,4,6,1,0,1,0,1
335982,1,6,2,6,4,2,1,0,1,0,1
335982,1,6,3,2,4,6,1,0,1,0,1
335982,1,6,4,6,4,2,1,0,2,0,2
335982,1,6,5,6,4,2,1,0,1,0,1
335982,1,6,6,2,4,6,1,0,1,0,1
335982,1,7,1,2,3,6,1,0,0,0,0
335982,1,7,2,2,3,6,1,0,1,0,1
335982,1,7,3,6,3,2,1,0,1,0,1
335982,1,7,4,2,3,6,1,0,1,0,1
335982,1,7,5,6,3,2,1,0,1,0,1
